id,anchor_id,category,question_EN
103,10,Easy Paraphrase Negation,Do you oppose limiting the competition between cantons in terms of their corporate tax rates?
104,10,Hard Paraphrase,Do you agree with the idea that cantons should not undercut each other by offering lower corporate taxes?
105,10,Hard Paraphrase,Should there be a ban on the practice of cantons engaging in a race to the bottom with corporate tax incentives?
106,10,Hard Paraphrase Negation,Cantons should have the freedom to engage in competitive tax rate setting without restrictions.
107,10,Syntax Trap,Are you in favour of enforcing stricter regulations on the import of non-native animal species?
108,10,Syntax Trap,Are you in favour of increasing government funding for renewable energy research and development?
109,10,Keyword Trap,Are you in favour of restricting access to competitive sports events between different cantons?
110,10,Keyword Trap,Are you in favour of imposing limits on the number of corporate events a canton can host?
111,11,ANCHOR,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?"
112,11,Negation,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) not be regulated more strongly?"
113,11,Easy Paraphrase,Is there a need for stricter regulation of online platforms such as Airbnb and Uber?
114,11,Easy Paraphrase Negation,Is there no need for stricter regulation of online platforms such as Airbnb and Uber?
115,11,Hard Paraphrase,Do digital service platforms like those for lodging and ride-sharing require tighter governmental oversight?
116,11,Hard Paraphrase,Ought platforms providing digital accommodations and transport services face increased regulatory control?
117,11,Hard Paraphrase Negation,Digital services for accommodation and transportation do not require any additional regulatory measures.
118,11,Syntax Trap,"Should agricultural subsidies (e.g. ""corn"" production, ""dairy"" farming) be reduced significantly?"
119,11,Syntax Trap,"Should educational curriculums (e.g. ""mathematics"" courses, ""science"" labs) be updated frequently?"
120,11,Keyword Trap,Should Airbnb and Uber collaborate on a new online marketing strategy?
121,11,Keyword Trap,Is there a more efficient way for Uber and Airbnb to expand their customer base?
122,12,ANCHOR,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?
123,12,Negation,Should the current moratorium on genetically modified plants and animals in Swiss agriculture not be extended beyond 2021?
124,12,Easy Paraphrase,Ought the existing ban on genetically modified plants and animals in Swiss farming be continued past 2021?
125,12,Easy Paraphrase Negation,Ought the existing ban on genetically modified plants and animals in Swiss farming not be continued past 2021?
126,12,Hard Paraphrase,Is it advisable to prolong the prohibition against genetically engineered flora and fauna in Switzerland's agricultural sector beyond the year 2021?
127,12,Hard Paraphrase,Should Switzerland maintain its restriction on the cultivation of genetically altered crops and livestock after 2021?
128,12,Hard Paraphrase Negation,Is it advisable to lift the prohibition against genetically engineered flora and fauna in Switzerland's agricultural sector after 2021?
129,12,Syntax Trap,Should the current restrictions on foreign investments in Swiss real estate be extended beyond 2021?
130,12,Syntax Trap,Should the existing limits on digital surveillance in Switzerland be extended beyond 2021?
131,12,Keyword Trap,Should the current moratorium on genetically modified foods in international markets be extended beyond 2021?
132,12,Keyword Trap,Should the current moratorium on genetically engineered animals in medical research be extended beyond 2021?
133,13,ANCHOR,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?
134,13,Negation,Should the government not increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?
135,13,Easy Paraphrase,"Is it important for the government to enhance its initiatives in promoting equal access to educational opportunities, such as providing vouchers for private tutoring to students from families with lower incomes?"
136,13,Easy Paraphrase Negation,"Isn't it unnecessary for the government to enhance its initiatives in promoting equal access to educational opportunities, such as providing vouchers for private tutoring to students from families with lower incomes?"
137,13,Hard Paraphrase,"Ought the state to amplify its role in ensuring all students have the same educational chances, possibly by offering financial aid for private lessons to those from financially disadvantaged backgrounds?"
138,13,Hard Paraphrase,"Should public authorities boost their efforts to level the playing field in education, perhaps by granting subsidies for additional academic support to pupils from economically challenged households?"
139,13,Hard Paraphrase Negation,"The state should refrain from amplifying its role in ensuring equal educational opportunities, such as through financial aid for private lessons for students from financially disadvantaged backgrounds."
140,13,Syntax Trap,Should the government increase its efforts to support renewable energy sources (e.g. through subsidies for solar panel installations in rural areas)?
141,13,Syntax Trap,Should the government increase its efforts to improve public transportation infrastructure (e.g. through funding for new railway lines in underserved regions)?
142,13,Keyword Trap,Should the government increase its efforts to support equal employment opportunities (e.g. through internships for individuals from diverse backgrounds)?
143,13,Keyword Trap,Should the government increase its efforts to support equal healthcare access (e.g. through subsidies for medical treatments for low-income families)?
144,14,ANCHOR,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?
145,14,Negation,An initiative calls for the introduction of unpaid paternity leave for four weeks. Do you support this proposal?
146,14,Easy Paraphrase,Do you agree with the initiative proposing a four-week period of paid leave for new fathers?
147,14,Easy Paraphrase Negation,Do you oppose the initiative proposing a four-week period of paid leave for new fathers?
148,14,Hard Paraphrase,Should a proposal be enacted to allow fathers to receive salary compensation for a month after the birth of a child?
149,14,Hard Paraphrase,Is it advisable for a policy to be introduced granting one month of compensated time off for fathers following the arrival of a newborn?
150,14,Hard Paraphrase Negation,Introducing a policy that grants fathers a month of paid leave after a child is born is not something that deserves support.
151,14,Syntax Trap,An initiative calls for the introduction of a new carbon tax to combat climate change. Do you support this proposal?
152,14,Syntax Trap,An initiative calls for the introduction of stricter regulations on data privacy. Do you support this proposal?
153,14,Keyword Trap,An initiative calls for the introduction of a four-week training program for new employees. Do you support this proposal?
154,14,Keyword Trap,An initiative calls for the introduction of paid parking for four weeks during the holiday season. Do you support this proposal?
