ID_question,Weight,Question,_category,rapide
32241,1.0235066169772613,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Economy & labour,1
32242,0.8487086413643137,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Economy & labour,0
32243,0.9830955709525679,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Economy & labour,0
32244,1.0235066169772613,Are you in favor of stricter controls on equal pay for women and men?,Economy & labour,1
32245,1.0235066169772613,Should busy sections of highways be widened?,Energy & transport,1
32246,1.0235066169772613,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Energy & transport,1
32247,1.0235066169772613,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Energy & transport,0
32248,0.9555084330087703,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Energy & transport,0
32249,1.0235066169772613,Should the construction of new nuclear power plants in Switzerland be allowed again?,Energy & transport,1
32250,1.0235066169772613,Should the state guarantee a comprehensive public service offering also in rural regions?,Energy & transport,0
32251,0.8487086413643137,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Energy & transport,0
32252,1.0235066169772613,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Nature conservation,1
32253,1.0235066169772613,Should direct payments only be granted to farmers with proof of ecological performance?,Nature conservation,1
32254,1.0235066169772613,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Nature conservation,0
32255,1.0235066169772613,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Nature conservation,0
32256,1.0235066169772613,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Nature conservation,1
32257,1.0235066169772613,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Nature conservation,0
32258,1.0235066169772613,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"Democracy, Media & Digitalization",0
32259,1.0235066169772613,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Democracy, Media & Digitalization",0
32260,1.0235066169772613,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","Democracy, Media & Digitalization",1
32261,1.0235066169772613,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","Democracy, Media & Digitalization",1
32262,1.0235066169772613,Are you in favour of lowering the voting age to 16?,"Democracy, Media & Digitalization",0
32263,1.0218169167617683,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,"Democracy, Media & Digitalization",0
32264,1.0235066169772613,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",Security & military,1
32265,1.0235066169772613,Should the Swiss Armed Forces expand their cooperation with NATO?,Security & military,0
32266,1.0235066169772613,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Security & military,0
32267,1.0235066169772613,Should automatic facial recognition be banned in public spaces?,Security & military,1
32268,1.0235066169772613,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Security & military,1
32269,1.0235066169772613,Are you in favor of closer relations with the European Union (EU)?,Foreign trade & foreign policy,0
32270,1.0068266206061345,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Foreign trade & foreign policy,1
32271,1.0235066169772613,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Foreign trade & foreign policy,0
32272,1.0068266206061345,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Foreign trade & foreign policy,1
32273,1.0235066169772613,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],Foreign trade & foreign policy,1
32274,1.0235066169772613,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",Values,0
32275,1.0235066169772613,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",Values,0
32276,1.0235066169772613,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",Values,0
32277,0.9517766212244669,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Values,0
32278,1.0235066169772613,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",Values,0
32279,1.0235066169772613,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Values,0
32280,0.9555084330087703,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",Values,0
32281,1.0097853798318503,"Should the federal government spend more or less in the area of ""Social services""?",Federal budget,0
32282,1.0235066169772613,"Should the federal government spend more or less in the area of ""Education and research""?",Federal budget,0
32283,1.0235066169772613,"Should the federal government spend more or less in the area of ""Agriculture""?",Federal budget,0
32284,0.8835110774594717,"Should the federal government spend more or less in the area of ""Public transport""?",Federal budget,0
32285,0.8835110774594717,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",Federal budget,0
32286,0.9808938347718166,"Should the federal government spend more or less in the area of ""Public security""?",Federal budget,0
32287,0.9808938347718166,"Should the federal government spend more or less in the area of ""National defence""?",Federal budget,0
32288,1.0097853798318503,"Should the federal government spend more or less in the area of ""Development assistance""?",Federal budget,0
