"","ID_question","type","question_de","question_fr","question_en"
"32",3436,"Standard-4","Haben für Sie Steuersenkungen auf Bundesebene in den nächsten vier Jahren Priorität?","Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?","In your opinion, is lowering taxes at the federal level a priority for the next four years?"
"33",3437,"Standard-4","Befürworten Sie eine weitergehende Reduktion der Beitragszahlungen finanzstarker Kantone an die finanzschwachen Kantone im Rahmen des Finanzausgleichs (NFA)?","Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?","Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?"
"34",3438,"Standard-4","Sollen Ehepaare getrennt als Einzelpersonen besteuert werden (Individualbesteuerung)?","Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?","Should married couples be taxed separately (individual taxation)?"
"35",3439,"Standard-4","Befürworten Sie eine Beschränkung des Wettbewerbs zwischen den Kantonen bei der Unternehmenssteuer?","Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?","Are you in favour of restricting competition between the cantons with regard to corporate tax rates?"
"36",3440,"Standard-4","Sollen Privathaushalte ihren Stromanbieter frei wählen können (vollständige Liberalisierung des Strommarktes)?","Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?","Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?"
"37",3441,"Standard-4","Befürworten Sie die Einführung eines für alle Arbeitnehmenden gültigen Mindestlohnes von CHF 4'000 für eine Vollzeitstelle?","Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?","Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?"
"38",3442,"Standard-4","Sollen Schweizer Unternehmen durch die Einführung von Investitionskontrollen besser vor Übernahmen durch ausländische Käufer geschützt werden?","Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ","Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?"
"39",3443,"Standard-4","Befürworten Sie eine vollständige Liberalisierung der Geschäftsöffnungszeiten?","Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?","Are you in favour of a complete liberalisation of business hours for shops?"
"40",3444,"Standard-4","Soll der Kündigungsschutz für ältere Angestellte ausgebaut werden?","Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?","Should the protection against dismissal for older employees be extended?"
"41",3445,"Standard-4","Soll der Bund das Service-Public-Angebot (z.B. ÖV-Verbindungen, Poststellen) in den ländlichen Regionen stärker fördern?","La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurales?","Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?"
"42",3446,"Standard-4","Soll der Ausbau des Mobilfunknetzes nach 5G-Standard weiter vorangetrieben werden?","L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?","Should the expansion of the mobile network according to the 5G standard continue?"
"43",3447,"Standard-4","Sollen Online-Vermittlungsdienste (z.B. ""Airbnb""-Unterkünfte, ""Uber""-Taxidienste) stärker reguliert werden?","Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?","Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?"
"44",3448,"Standard-4","Eine Initiative fordert, dass die Schweiz ab 2050 auf die Verwendung fossiler Energieträger verzichtet. Unterstützen Sie dieses Anliegen?","Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?","An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?"
"45",3449,"Standard-4","Bislang wird auf fossile Brennstoffe (z.B. Heizöl oder Erdgas) eine CO2-Abgabe erhoben. Soll diese Abgabe auch auf Treibstoffe (z.B. Benzin und Diesel) ausgeweitet werden?","Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Currently, a CO2 charge is levied on fossil combustibles (e.g. heating oil, natural gas). Should this charge be extended to motor fuels (e.g. petrol, diesel)?"
"46",3450,"Standard-4","Soll der Bund erneuerbare Energien stärker fördern?","La Confédération devrait-elle soutenir davantage les énergies renouvelables?","Should the federal government provide more support for renewable energies?"
"47",3451,"Standard-4","Sollen stark befahrene Autobahnabschnitte auf sechs Spuren ausgebaut werden?","Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?","Should high traffic motorways be expanded to six lanes?"
"48",3452,"Standard-4","Befürworten Sie die Einführung von ""Road Pricing"" für den motorisierten Individualverkehr auf vielbefahrenen Strassen?","Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?","Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?"
"49",3453,"Standard-4","Befürworten Sie eine Lockerung der aktuell gültigen Schutzbestimmungen für Grossraubtiere (Luchs, Wolf, Bär)?","Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours)?","Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?"
"50",3454,"Standard-4","Soll das geltende Moratorium für gentechnisch veränderte Pflanzen und Tiere in der Schweizer Landwirtschaft über das Jahr 2021 hinaus verlängert werden?","Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?","Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?"
"51",3455,"Standard-4","Sollen nur noch Landwirte Direktzahlungen erhalten, die einen erweiterten ökologischen Leistungsnachweis erbringen (u.a. Verzicht auf synthetische Pestizide und Beschränkung des Antibiotika-Einsatzes)?","Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?","Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?"
"52",3456,"Standard-4","Befürworten Sie einen Ausbau des Landschaftsschutzes (z.B. strengere Regeln zum Bauen ausserhalb bestehender Bauzonen)?","Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?","Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?"
"53",3457,"Standard-4","Befürworten Sie strengere Tierschutzregelungen für die Haltung von Nutztieren (z.B. permanenter Zugang zum Aussenbereich)?","Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?","Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?"
"54",3458,"Standard-4","Soll die Finanzierung von Parteien sowie von Wahl- und Abstimmungskampagnen offengelegt werden müssen?","Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ","Should campaign finance for political parties and referendums be openly declared?"
"55",3459,"Standard-4","Soll die Einführung der elektronischen Stimmabgabe bei Wahlen und Abstimmungen (E-Voting) weiter vorangetrieben werden?","L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?","Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?"
"56",3460,"Standard-4","Befürworten Sie die Senkung des Stimmrechtsalters auf 16 Jahre?","Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?","Are you in favour of lowering the voting age to 16?"
"57",3461,"Standard-4","Soll auf die vom Bundesrat vorgeschlagene Verschärfung der Zulassungsbedingungen zum Zivildienst verzichtet werden?","Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?","Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?"
"58",3462,"Standard-4","Sollen Exporte von Kriegsmaterial aus der Schweiz verboten werden?","Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ","Should the export of war materials from Switzerland be banned? "
"59",3463,"Standard-4","Befürworten Sie die Beschaffung neuer Kampfflugzeuge für die Schweizer Armee?","Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse?","Are you in favour of Switzerland acquiring new fighter jets for the armed forces?"
"60",3464,"Standard-4","Würden Sie eine Ausdehnung der rechtlichen Möglichkeiten zur Fahndung mittels DNA-Analyse befürworten?","Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?","Do you support an expansion of the legal possibilities for using DNA analysis in investigations? "
"61",3465,"Slider-7","Wie beurteilen Sie die folgende Aussage: ""Von einer freien Marktwirtschaft profitieren langfristig alle.""","Comment jugez-vous l'affirmation suivante: ""A long terme, une économie de libre marché profite à toutes et tous.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term."""
"62",3466,"Slider-7","Wie beurteilen Sie die folgende Aussage: ""Die fortschreitende Digitalisierung bietet deutlich mehr Chancen als Risiken.""","Comment jugez-vous l'affirmation suivante: ""La digitalisation croissante offre dans l'ensemble plus d'opportunités que de risques.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks."""
"63",3467,"Slider-7","Wie beurteilen Sie die folgende Aussage: ""Ein stärkerer Umweltschutz ist notwendig, auch wenn er zu Lasten des Wirtschaftswachstums durchgesetzt werden muss.""","Comment jugez-vous l'affirmation suivante: ""Une plus forte protection de l'environnement est nécessaire, même si son application limite la croissance économique.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth."""
"64",3468,"Standard-4","Soll die Schweiz Verhandlungen über den Beitritt zur EU aufnehmen?","La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne?","Should Switzerland start membership negotiations with the EU?"
"65",3469,"Standard-4","Soll der Bundesrat ein Freihandelsabkommen mit den USA anstreben?","La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis?","Should Switzerland strive for a free trade agreement with the USA?"
"66",3470,"Standard-4","Eine Initiative fordert, dass die Haftungsregeln für Unternehmen mit Sitz in der Schweiz in Bezug auf die Einhaltung von Menschenrechten und Umweltstandards im Ausland verschärft werden. Befürworten Sie dies?","Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?","An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?"
"67",3471,"Standard-4","Befürworten Sie die Kandidatur der Schweiz für einen Sitz im UNO-Sicherheitsrat?","Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?","Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? "
"68",3472,"Budget-5","Soll der Bund im Bereich ""Entwicklungshilfe"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de l'aide au développement?","Should the federal government spend more or less in the area of ""Development assistance""?"
"69",3473,"Budget-5","Soll der Bund im Bereich ""Landesverteidigung"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de la défense nationale?","Should the federal government spend more or less in the area of ""National defence""?"
"70",3474,"Budget-5","Soll der Bund im Bereich ""Öffentliche Sicherheit"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de la sécurité publique?","Should the federal government spend more or less in the area of ""Public security""?"
"71",3475,"Budget-5","Soll der Bund im Bereich ""Bildung und Forschung"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de la formation et de la recherche?","Should the federal government spend more or less in the area of ""Education and research""?"
"72",3476,"Budget-5","Soll der Bund im Bereich ""Soziale Wohlfahrt"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de la prévoyance sociale?","Should the federal government spend more or less in the area of ""Social services""?"
"73",3477,"Budget-5","Soll der Bund im Bereich ""Strassenverkehr (Motorisierter Individualverkehr)"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine des routes (transport individuel motorisé)?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?"
"74",3478,"Budget-5","Soll der Bund im Bereich ""Öffentlicher Verkehr"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine des transports publics?","Should the federal government spend more or less in the area of ""Public transport""?"
"75",3479,"Budget-5","Soll der Bund im Bereich ""Landwirtschaft"" mehr oder weniger ausgeben?","La Confédération doit-elle augmenter ou diminuer ses dépenses dans le domaine de l'agriculture?","Should the federal government spend more or less in the area of ""Agriculture""?"
