Qu1,Qu2,Similarity
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.6363)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.6317)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.6308)
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.6278)
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.6272)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.6251)
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.6239)
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.6224)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should Switzerland strive for a free trade agreement with the USA?,tensor(0.6186)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.6152)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.6128)
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.6117)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.6049)
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.6018)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.6014)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.6010)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.5987)
Should the export of war materials from Switzerland be banned? ,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.5983)
Do you support an increase in the retirement age (e.g. to 67)?,Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,tensor(0.5964)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5942)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5938)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5913)
Should the federal government provide more support for the integration of foreigners?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.5854)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should the federal government expand its financial support for continued education and retraining?,tensor(0.5852)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.5849)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government expand its financial support for continued education and retraining?,tensor(0.5839)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.5755)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.5719)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.5702)
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.5631)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.5616)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Public security""?",tensor(0.5604)
Do you support cantonal efforts to reduce social welfare benefits?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5574)
Should the federal government provide more support for the integration of foreigners?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5539)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,tensor(0.5519)
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.5516)
Should the federal government provide more support for the construction of non-profit housing? ,Should the federal government provide more support for renewable energies?,tensor(0.5508)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.5497)
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.5484)
Should Switzerland start membership negotiations with the EU?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.5459)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.5442)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",tensor(0.5413)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.5411)
Should the federal government provide more support for the integration of foreigners?,Should the federal government expand its financial support for continued education and retraining?,tensor(0.5405)
"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.5369)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5357)
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.5356)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",Should the federal government provide more support for renewable energies?,tensor(0.5348)
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more financial support for the creation of childcare facilities outside the family?,tensor(0.5326)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.5321)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",tensor(0.5308)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.5304)
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.5291)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.5286)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.5283)
Should Switzerland strive for a free trade agreement with the USA?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.5279)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government provide more support for renewable energies?,tensor(0.5274)
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more support for renewable energies?,tensor(0.5230)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5225)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.5220)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5220)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.5218)
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.5217)
Should the federal government provide more support for the integration of foreigners?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5209)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.5205)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.5195)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.5193)
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",tensor(0.5154)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,Should the federal government provide more support for renewable energies?,tensor(0.5148)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5141)
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.5140)
An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.5131)
Should the federal government provide more support for the integration of foreigners?,Should the requirements for naturalization be increased?,tensor(0.5124)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.5124)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.5113)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.5064)
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,tensor(0.5059)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Are you in favor of further tightening the asylum law?,tensor(0.5058)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should the export of war materials from Switzerland be banned? ,tensor(0.5044)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.5020)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.5008)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.4999)
Should the export of war materials from Switzerland be banned? ,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.4979)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Should the requirements for naturalization be increased?,tensor(0.4965)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.4953)
Should high traffic motorways be expanded to six lanes?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.4951)
Should the federal government expand its financial support for continued education and retraining?,Should the federal government provide more support for renewable energies?,tensor(0.4943)
Do you support cantonal efforts to reduce social welfare benefits?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,tensor(0.4940)
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Should the export of war materials from Switzerland be banned? ,tensor(0.4935)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,tensor(0.4912)
Should the federal government provide more support for the integration of foreigners?,Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.4898)
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.4894)
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4892)
Should the export of war materials from Switzerland be banned? ,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4891)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.4877)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.4877)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,tensor(0.4866)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should the federal government provide more support for renewable energies?,tensor(0.4866)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.4858)
Should the federal government provide more support for the integration of foreigners?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.4837)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.4834)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4828)
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Should Switzerland start membership negotiations with the EU?,tensor(0.4826)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4824)
Should Switzerland strive for a free trade agreement with the USA?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.4821)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Should Switzerland start membership negotiations with the EU?,tensor(0.4814)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland start membership negotiations with the EU?,tensor(0.4796)
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4794)
Do you support cantonal efforts to reduce social welfare benefits?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.4792)
Should the federal government provide more support for the construction of non-profit housing? ,Should the federal government expand its financial support for continued education and retraining?,tensor(0.4788)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.4781)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Should the federal government provide more support for renewable energies?,tensor(0.4781)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.4777)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.4770)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4761)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4756)
Would you support the introduction of an opt-out solution of for organ donation?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.4751)
Should the federal government provide more support for the integration of foreigners?,Are you in favor of further tightening the asylum law?,tensor(0.4748)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.4747)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4741)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.4732)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4704)
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.4704)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,Should the export of war materials from Switzerland be banned? ,tensor(0.4703)
Are you in favour of stricter monitoring of pay equity for women and men? ,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.4699)
Should high traffic motorways be expanded to six lanes?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.4698)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.4693)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.4663)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.4657)
Should the federal government provide more support for the integration of foreigners?,Do you support cantonal efforts to reduce social welfare benefits?,tensor(0.4641)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.4639)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.4636)
Should Switzerland start membership negotiations with the EU?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4634)
Do you support cantonal efforts to reduce social welfare benefits?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.4630)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should Switzerland start membership negotiations with the EU?,tensor(0.4630)
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of lowering the voting age to 16?,tensor(0.4620)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.4615)
Should the federal government provide more support for the construction of non-profit housing? ,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.4612)
Do you support cantonal efforts to reduce social welfare benefits?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.4612)
Do you support cantonal efforts to reduce social welfare benefits?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.4606)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,tensor(0.4588)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.4586)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Should married couples be taxed separately (individual taxation)?,tensor(0.4570)
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.4569)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",tensor(0.4568)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.4567)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.4564)
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Should the federal government provide more financial support for the creation of childcare facilities outside the family?,tensor(0.4564)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4560)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.4560)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.4557)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Should the federal government spend more or less in the area of ""Public security""?",tensor(0.4554)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",tensor(0.4537)
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4534)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.4528)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.4524)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.4521)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,"In your opinion, is lowering taxes at the federal level a priority for the next four years?",tensor(0.4518)
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.4515)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.4512)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4507)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.4506)
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.4505)
Do you support cantonal efforts to reduce social welfare benefits?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.4504)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""","Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.4493)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should the export of war materials from Switzerland be banned? ,tensor(0.4489)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.4488)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.4479)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.4474)
Should the federal government provide more support for renewable energies?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.4468)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.4466)
