question_id,question_text,category,group,mds_x,mds_y
32235,Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Society & ethics,maxi,-0.37299644108224944,-0.04522949911077219
32236,Do you support tax cuts at the federal level over the next four years?,Finances & taxes,mini,-0.24580368987055742,-0.11518050855719453
32237,Should married couples be taxed separately (individual taxation)? [BePart question],Finances & taxes,maxi,-0.32788861517353757,-0.06683002096348749
32238,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Finances & taxes,mini,0.06129099859470127,0.11440767269550707
32239,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Finances & taxes,maxi,0.038702168789237025,0.03896469360333593
32240,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Economy & labour,mini,0.10712611508180679,0.16377672900643003
32241,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Economy & labour,mini,-0.029848481400199762,-0.36066452903089385
32242,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Economy & labour,maxi,0.11871020941038744,-0.30041174415795147
32243,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Economy & labour,maxi,0.279466358360465,0.19489245881130154
32244,Are you in favor of stricter controls on equal pay for women and men?,Economy & labour,mini,-0.31394668025738015,0.10658937982033134
32245,Should busy sections of highways be widened?,Energy & transport,mini,0.382185295223029,0.04930479952975766
32246,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Energy & transport,mini,0.21820088055863646,-0.10763879061719436
32247,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Energy & transport,maxi,0.19034713689493366,-0.27727364603827287
32248,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Energy & transport,maxi,0.13137533221267064,-0.24953249128157043
32249,Should the construction of new nuclear power plants in Switzerland be allowed again?,Energy & transport,mini,0.29341166108614986,-0.13025132798566724
32250,Should the state guarantee a comprehensive public service offering also in rural regions?,Energy & transport,maxi,-0.16045868904499316,0.14754236675605992
32251,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Energy & transport,maxi,0.06760200859251461,-0.3159954501265872
32252,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Nature conservation,mini,-0.07548000186402362,-0.3593801422029535
32253,Should direct payments only be granted to farmers with proof of ecological performance?,Nature conservation,mini,-0.007188290425616651,-0.14347944511003172
32254,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Nature conservation,maxi,0.15585862318064544,0.35320373710352676
32255,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Nature conservation,maxi,0.3028176388697337,0.022463019776268696
32256,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Nature conservation,mini,0.34186116353970225,0.13120707096699752
32257,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Nature conservation,maxi,0.13034942686266235,-0.36538703878911066
32258,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"Democracy, Media & Digitalization",maxi,0.24705571057896683,-0.2138848807867956
32259,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Democracy, Media & Digitalization",maxi,0.04202104069075228,-0.04079497419251401
32260,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","Democracy, Media & Digitalization",mini,-0.1609443593311709,-0.3393517895122229
32261,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","Democracy, Media & Digitalization",mini,0.08224153632974526,-0.08928601427829032
32262,Are you in favour of lowering the voting age to 16?,"Democracy, Media & Digitalization",maxi,-0.2737703104297311,0.06580623675870256
32263,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,"Democracy, Media & Digitalization",maxi,-0.14714680094428167,-0.07192785318188993
32264,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",Security & military,mini,-0.1107857420258101,0.29427996524776734
32265,Should the Swiss Armed Forces expand their cooperation with NATO?,Security & military,maxi,0.37186078662155286,-0.06781356479367767
32266,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Security & military,corr_maxi,0.3174739475577413,-0.023428238482531286
32267,Should automatic facial recognition be banned in public spaces?,Security & military,mini,-0.13857432837322536,-0.2867197348733923
32268,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Security & military,mini,0.25569564714611936,0.08823039016711164
32269,Are you in favor of closer relations with the European Union (EU)?,Foreign trade & foreign policy,maxi,0.30473045180739533,-0.16350421509240848
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Foreign trade & foreign policy,mini,0.16836807882449384,-0.046469303972781824
32271,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Foreign trade & foreign policy,maxi,0.20604370499092908,-0.011879508619303498
32272,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Foreign trade & foreign policy,mini,0.21886494704526552,0.04031939049845583
32273,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],Foreign trade & foreign policy,mini,0.26092707042777463,-0.01219712359257968
32274,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",Values,maxi,-0.0009188367308009786,0.35611133665324646
32275,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",Values,maxi,-0.07854783723344584,-0.09208504552049977
32276,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",Values,corr_maxi,-0.2025432973289208,0.04488062733964841
32277,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Values,maxi,-0.2587808766944361,0.2230679695017257
32278,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",Values,maxi,0.019942300694559587,-0.21617170793450874
32279,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Values,maxi,-0.05275309679919467,0.3815497653752121
32280,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",Values,maxi,0.0995677389914636,-0.1961340151592809
32281,"Should the federal government spend more or less in the area of ""Social services""?",Federal budget,corr_maxi,-0.15815683712712797,0.009530111842861136
32282,"Should the federal government spend more or less in the area of ""Education and research""?",Federal budget,maxi,-0.27787988770005606,-0.1812817599603989
32283,"Should the federal government spend more or less in the area of ""Agriculture""?",Federal budget,maxi,-0.21863937384464224,-0.24151779936312823
32284,"Should the federal government spend more or less in the area of ""Public transport""?",Federal budget,maxi,-0.11591635357120496,-0.1978887470065122
32285,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",Federal budget,corr_maxi,-0.057467634085371984,-0.2253624604525784
32286,"Should the federal government spend more or less in the area of ""Public security""?",Federal budget,maxi,0.17268333599320504,-0.19731445838334116
32287,"Should the federal government spend more or less in the area of ""National defence""?",Federal budget,corr_maxi,-0.039640620894278625,-0.28656709163991495
32288,"Should the federal government spend more or less in the area of ""Development assistance""?",Federal budget,maxi,-0.1608561865330952,-0.13330514019421968
