Qu1,Qu2,ID1,ID2,Distance,Type
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Public security""?",3472,3474,0.3645762669922996,Real-Symmetric
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3456,3457,0.3765848366851637,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",3474,3477,0.37752146198829517,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",3473,3477,0.38324106322218765,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",3476,3477,0.38407409799444187,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government provide more support for the construction of non-profit housing? ,3413,3417,0.38563431788830554,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Agriculture""?",3477,3479,0.38640697511573313,Real-Symmetric
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3463,3471,0.3911068805070814,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",3475,3477,0.39737439912292805,Real-Symmetric
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,3421,3422,0.40004495725711037,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of lowering the voting age to 16?,3412,3460,0.400832811277265,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",3472,3477,0.4027435390491691,Real-Symmetric
Should the federal government provide more support for the construction of non-profit housing? ,Should the federal government provide more support for renewable energies?,3417,3450,0.41048367464822516,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more support for the construction of non-profit housing? ,3391,3417,0.41250258936213813,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more support for renewable energies?,3391,3450,0.415675637738521,Real-Symmetric
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,3448,3470,0.415776430236107,Real-Symmetric
Should Switzerland start membership negotiations with the EU?,Should Switzerland strive for a free trade agreement with the USA?,3468,3469,0.4169897575218279,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the federal government provide more financial support for the creation of childcare facilities outside the family?,3391,3413,0.4187463674814752,Real-Symmetric
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should Switzerland start membership negotiations with the EU?,3398,3468,0.41944609902050645,Real-Symmetric
Should same-sex couples have the same rights as heterosexual couples in all areas?,Should married couples be taxed separately (individual taxation)?,3432,3438,0.4293550071892563,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",Should the federal government provide more support for renewable energies?,3445,3450,0.42973299652600877,Real-Symmetric
Should the federal government expand its financial support for continued education and retraining?,Should the federal government provide more support for renewable energies?,3425,3450,0.4338955215704767,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Public transport""?",3445,3478,0.43525309555118574,Real-Symmetric
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",3399,3465,0.4361250935207539,Real-Symmetric
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",3417,3445,0.43734847578335007,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the federal government expand its financial support for continued education and retraining?,3391,3425,0.4376230066946485,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",3389,3465,0.4386029645375173,Real-Symmetric
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",3399,3467,0.4404848998790814,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,3414,3422,0.4408841716871204,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government provide more support for renewable energies?,3413,3450,0.44319156378143215,Real-Symmetric
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,3435,3463,0.4432555761960107,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",3388,3399,0.4434530688530721,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",3413,3445,0.44542598951317275,Real-Symmetric
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,3418,3421,0.4455464066675712,Real-Symmetric
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,3437,3439,0.4474240484729408,Real-Symmetric
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Education and research""?",3425,3475,0.447491051781553,Real-Symmetric
Should Switzerland start membership negotiations with the EU?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3468,3471,0.4491424495748212,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",3389,3399,0.44973128560916936,Real-Symmetric
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3435,3471,0.4497391050417561,Real-Symmetric
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Are you in favour of a complete liberalisation of business hours for shops?,3441,3443,0.45013334629803076,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",3391,3445,0.45121097808090027,Real-Symmetric
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should the federal government expand its financial support for continued education and retraining?,3423,3425,0.4530565933682387,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the federal government expand its financial support for continued education and retraining?,3413,3425,0.45452768984672687,Real-Symmetric
Are you in favor of further tightening the asylum law?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,3430,3456,0.4562510817005451,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,3414,3421,0.4570616361509986,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",3465,3466,0.45764106430954227,Real-Symmetric
Do you support cantonal efforts to reduce social welfare benefits?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,3416,3437,0.4585448412833693,Real-Symmetric
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3448,3471,0.45936263710046293,Real-Symmetric
Do you support cantonal efforts to reduce social welfare benefits?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,3416,3439,0.4606909658332429,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Development assistance""?",3450,3472,0.4611029893601591,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Agriculture""?",3450,3479,0.4636794182052148,Real-Symmetric
Are you in favor of further tightening the asylum law?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3430,3457,0.465486738940035,Real-Symmetric
Are you in favour of a complete liberalisation of business hours for shops?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",3443,3452,0.46569899412721893,Real-Symmetric
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",3399,3466,0.46584603100680955,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Social services""?",3445,3476,0.4661914938047176,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3414,3441,0.4666464335732941,Real-Symmetric
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Are you in favor of further tightening the asylum law?,3428,3430,0.4677817198591531,Real-Symmetric
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,3441,3463,0.4680376361972344,Real-Symmetric
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should Switzerland strive for a free trade agreement with the USA?,3398,3469,0.4687351224445663,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3412,3441,0.4700400085870844,Real-Symmetric
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Are you in favour of lowering the voting age to 16?,3436,3460,0.47057318575720664,Real-Symmetric
Are you in favor of further tightening the asylum law?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,3430,3464,0.4706680474724836,Real-Symmetric
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Development assistance""?",3417,3472,0.4714033687757647,Real-Symmetric
Would you support the introduction of an opt-out solution of for organ donation?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,3419,3435,0.471650369495161,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Social services""?",3413,3476,0.47175347992907835,Real-Symmetric
Should the federal government provide more support for the construction of non-profit housing? ,"Should the federal government spend more or less in the area of ""Social services""?",3417,3476,0.4721752903872617,Real-Symmetric
Should the federal government provide more support for the construction of non-profit housing? ,Should the federal government expand its financial support for continued education and retraining?,3417,3425,0.47284902629463627,Real-Symmetric
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3453,3457,0.4728599928900483,Real-Symmetric
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",3425,3445,0.4731654427299691,Real-Symmetric
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,3448,3454,0.47347107318144305,Real-Symmetric
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,3436,3439,0.4742072014447256,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,3412,3414,0.47439180889681126,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",3465,3467,0.4744418127079757,Real-Symmetric
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,3442,3470,0.47448691212780425,Real-Symmetric
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",3439,3452,0.47459907677549,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""","What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",3387,3399,0.4751152199990864,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",3388,3389,0.47531214045022563,Real-Symmetric
Are you in favour of a complete liberalisation of business hours for shops?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,3443,3456,0.4754805242438871,Real-Symmetric
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,3448,3463,0.4756430840281282,Real-Symmetric
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3436,3441,0.4757829136811533,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",3387,3465,0.47626135644864287,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",3388,3467,0.47662903368163695,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",3389,3467,0.4766442900965207,Real-Symmetric
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",3441,3452,0.4771527246820548,Real-Symmetric
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,3421,3448,0.47752707998770294,Real-Symmetric
Are you in favour of a complete liberalisation of business hours for shops?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3443,3457,0.47792359142835206,Real-Symmetric
Should Switzerland strive for a free trade agreement with the USA?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3469,3471,0.47797085639661563,Real-Symmetric
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,3418,3422,0.47828238894935443,Real-Symmetric
Are you in favour of stricter monitoring of pay equity for women and men? ,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,3434,3439,0.47874028128776697,Real-Symmetric
Would you support the introduction of an opt-out solution of for organ donation?,Are you in favour of lowering the voting age to 16?,3419,3460,0.47880028801688673,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,"Should the federal government spend more or less in the area of ""Social services""?",3391,3476,0.47883091095947766,Real-Symmetric
Are you in favor of further tightening the asylum law?,Are you in favour of stricter monitoring of pay equity for women and men? ,3430,3434,0.4789355867993058,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",3388,3466,0.47955110580289795,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,3414,3470,0.47995252712254866,Real-Symmetric
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",3466,3467,0.4799803445685877,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",3387,3388,0.48120891346116,Real-Symmetric
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,3413,3423,0.481403960334263,Real-Symmetric
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should the export of war materials from Switzerland be banned? ,3398,3462,0.48182412617420645,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Agriculture""?",3445,3479,0.48193396478424166,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,"Should the federal government spend more or less in the area of ""Development assistance""?",3391,3472,0.48197725015191484,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Social services""?",3450,3476,0.4821154899499903,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,3412,3456,0.4821158608442455,Real-Symmetric
"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,3452,3456,0.4822127780975901,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Public security""?",3445,3474,0.4822528249480869,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favor of further tightening the asylum law?,3412,3430,0.4823492203956173,Real-Symmetric
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Should Switzerland strive for a free trade agreement with the USA?,3463,3469,0.48301678628756917,Real-Symmetric
Should high traffic motorways be expanded to six lanes?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",3451,3452,0.48413621492641046,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Would you support the introduction of an opt-out solution of for organ donation?,3412,3419,0.48420835520150646,Real-Symmetric
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Development assistance""?",3425,3472,0.4845529044982502,Real-Symmetric
"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3452,3457,0.4849303968371248,Real-Symmetric
Would you support the introduction of an opt-out solution of for organ donation?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",3419,3452,0.4857338334405506,Real-Symmetric
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,3422,3448,0.48581039876224574,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of a complete liberalisation of business hours for shops?,3412,3443,0.48599955171792036,Real-Symmetric
Should sans-papiers be able to obtain a regularized residence status more easily?,Should the requirements for naturalization be increased?,3429,3431,0.48623031184095683,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",3389,3466,0.4871025813041179,Real-Symmetric
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Development assistance""?",3445,3472,0.4872949022063627,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Public transport""?",3450,3478,0.4873865093272301,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""Education and research""?",3450,3475,0.48743236757294206,Real-Symmetric
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,3435,3448,0.4880807693897805,Real-Symmetric
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",3423,3445,0.48815696660479996,Real-Symmetric
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,3441,3471,0.48818736890449954,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Are you in favor of further tightening the asylum law?,3391,3430,0.4883598569538995,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Are you in favour of a complete liberalisation of business hours for shops?,3440,3443,0.48846724973004885,Real-Symmetric
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3439,3441,0.4886285386053746,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Should the protection against dismissal for older employees be extended?,3412,3444,0.4887036746966277,Real-Symmetric
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,3453,3456,0.48882538040997725,Real-Symmetric
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,3422,3470,0.4888589112285726,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the requirements for naturalization be increased?,3391,3431,0.4889124338423991,Real-Symmetric
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3435,3441,0.48891926090706744,Real-Symmetric
Would you support the introduction of an opt-out solution of for organ donation?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,3419,3464,0.4890657759974144,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,3414,3448,0.48919080324862224,Real-Symmetric
Are you in favour of stricter monitoring of pay equity for women and men? ,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,3434,3441,0.48926841130454773,Real-Symmetric
Should the federal government provide more support for renewable energies?,"Should the federal government spend more or less in the area of ""National defence""?",3450,3473,0.48939521367796235,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,3420,3435,0.48955035267660274,Real-Symmetric
Should the export of war materials from Switzerland be banned? ,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,3462,3463,0.48989150987172353,Real-Symmetric
Are you in favour of a complete liberalisation of business hours for shops?,Are you in favour of lowering the voting age to 16?,3443,3460,0.48994783941299197,Real-Symmetric
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should Switzerland start membership negotiations with the EU?,3448,3468,0.4905438301343081,Real-Symmetric
Would you support the introduction of an opt-out solution of for organ donation?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,3419,3421,0.49149479636836213,Real-Symmetric
Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,Should Switzerland start membership negotiations with the EU?,3463,3468,0.4915811345763158,Real-Symmetric
Should the export of war materials from Switzerland be banned? ,Should Switzerland start membership negotiations with the EU?,3462,3468,0.4922783177465905,Real-Symmetric
Should the federal government provide more support for the integration of foreigners?,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,3391,3423,0.4929742731186985,Real-Symmetric
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,3441,3448,0.4931786865483337,Real-Symmetric
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,3412,3457,0.4935695076858338,Real-Symmetric
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Would you support the introduction of an opt-out solution of for organ donation?,3414,3419,0.49361913854229933,Real-Symmetric
