Qu1,Qu2,Similarity,Type
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5124962329864502,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.510683000087738,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.5096052885055542,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.5090610384941101,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.5090421438217163,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Do you support tax cuts at the federal level over the next four years?,0.5087324380874634,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.5082021951675415,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public security""?",0.5073435306549072,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0.5066534280776978,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5055921673774719,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.5024973154067993,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Public transport""?",0.5021554231643677,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4999276101589203,Real-Symmetric
Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4974914491176605,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4964236319065094,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Education and research""?",0.4959443211555481,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4956924617290497,Real-Symmetric
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.49551355838775635,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4953324794769287,Real-Symmetric
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.4951837956905365,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.4951680302619934,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.4945819675922394,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.49437323212623596,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""National defence""?",0.49427440762519836,Real-Symmetric
"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.49254778027534485,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.49244678020477295,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.49130040407180786,Real-Symmetric
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.49080753326416016,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.4896088242530823,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.486258327960968,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Do you support tax cuts at the federal level over the next four years?,0.48424020409584045,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Agriculture""?",0.4821527302265167,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.48109301924705505,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.4806475043296814,Real-Symmetric
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.48007380962371826,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.4790199100971222,Real-Symmetric
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Development assistance""?",0.4789380133152008,Real-Symmetric
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.47886067628860474,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public transport""?",0.4779062569141388,Real-Symmetric
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4775087237358093,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should the federal government raise the requirements for the gymnasiale matura?,0.4773746728897095,Real-Symmetric
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4773167371749878,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.47724202275276184,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the state guarantee a comprehensive public service offering also in rural regions?,0.4768974184989929,Real-Symmetric
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.4765682816505432,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.475689560174942,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.4741780757904053,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.4729773700237274,Real-Symmetric
Should the state guarantee a comprehensive public service offering also in rural regions?,Should direct payments only be granted to farmers with proof of ecological performance?,0.4728885889053345,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.4726136326789856,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.4725808799266815,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,Should the state guarantee a comprehensive public service offering also in rural regions?,0.4721018075942993,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,"Should the federal government spend more or less in the area of ""Public security""?",0.4712667167186737,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.47120389342308044,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Education and research""?",0.47054725885391235,Real-Symmetric
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4702831208705902,Real-Symmetric
"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Should direct payments only be granted to farmers with proof of ecological performance?,0.4701172709465027,Real-Symmetric
Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.46981918811798096,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favor of stricter controls on equal pay for women and men?,0.469492107629776,Real-Symmetric
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.46886149048805237,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4679047167301178,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.4677294194698334,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.46745964884757996,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Social services""?",0.46725326776504517,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4671463966369629,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Public transport""?",0.46688729524612427,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.46670156717300415,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.46666836738586426,Real-Symmetric
Should the state guarantee a comprehensive public service offering also in rural regions?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.466406911611557,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.46616438031196594,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"Should the federal government spend more or less in the area of ""Social services""?",0.46575433015823364,Real-Symmetric
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Should the federal government spend more or less in the area of ""Social services""?",0.4654832184314728,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of lowering the voting age to 16?,0.4642558693885803,Real-Symmetric
Should the state guarantee a comprehensive public service offering also in rural regions?,"Should the federal government spend more or less in the area of ""Social services""?",0.46409478783607483,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.4639923870563507,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.463466614484787,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4619350731372833,Real-Symmetric
