Qu1,Qu2,ID1,ID2,Distance,Type,rank_type
"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32261,32278,0.9986060953736366,Real-Symmetric,furthest
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]","Should the federal government spend more or less in the area of ""Social services""?",32266,32281,0.9986325863057969,Real-Symmetric,furthest
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32256,32263,0.9988109964559807,Real-Symmetric,furthest
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32224,32274,0.9989192011229778,Real-Symmetric,furthest
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32216,32233,0.999366144563029,Real-Symmetric,furthest
Should direct payments only be granted to farmers with proof of ecological performance?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32253,32258,0.9994147572245147,Real-Symmetric,furthest
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,32216,32246,0.9995250760928616,Real-Symmetric,furthest
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should cannabis use be legalized? [BePart question],32216,32232,0.9995325102176825,Real-Symmetric,furthest
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32217,32233,0.9995897246849699,Real-Symmetric,furthest
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Should the federal government spend more or less in the area of ""Public security""?",32278,32286,0.9997160749659835,Real-Symmetric,furthest
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32216,32266,0.9997853694087175,Real-Symmetric,furthest
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32217,32272,0.9998965653196579,Real-Symmetric,furthest
