ID1,ID2,Qu1,Qu2,correlation,abs_correlation
32244,32271,Are you in favor of stricter controls on equal pay for women and men?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5154741621402401,0.5154741621402401
32246,32285,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.5143673699451284,0.5143673699451284
32275,32281,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","Should the federal government spend more or less in the area of ""Social services""?",-0.5124398835272681,0.5124398835272681
32228,32262,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Are you in favour of lowering the voting age to 16?,0.509295410125246,0.509295410125246
32219,32240,Should the federal government provide more financial support for public housing construction? [BePart question],"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.5068782485376081,0.5068782485376081
32244,32281,Are you in favor of stricter controls on equal pay for women and men?,"Should the federal government spend more or less in the area of ""Social services""?",0.5059991510867632,0.5059991510867632
32255,32280,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5049863102121435,0.5049863102121435
32246,32247,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",-0.5048094688272399,0.5048094688272399
32268,32269,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Are you in favor of closer relations with the European Union (EU)?,-0.5033790835340031,0.5033790835340031
32276,32280,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5028861409091322,0.5028861409091322
32227,32281,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Social services""?",0.5027990972468067,0.5027990972468067
32269,32272,Are you in favor of closer relations with the European Union (EU)?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,-0.5021468385600647,0.5021468385600647
32275,32276,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",-0.5018855320354364,0.5018855320354364
32247,32280,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",-0.5004789315541259,0.5004789315541259
32271,32281,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"Should the federal government spend more or less in the area of ""Social services""?",0.49948301124736055,0.49948301124736055
32254,32255,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],0.49589200932463495,0.49589200932463495
32228,32281,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the federal government spend more or less in the area of ""Social services""?",0.4950720010932796,0.4950720010932796
32269,32273,Are you in favor of closer relations with the European Union (EU)?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],-0.49323194292777256,0.49323194292777256
32231,32262,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Are you in favour of lowering the voting age to 16?,0.49246562081336875,0.49246562081336875
32230,32281,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"Should the federal government spend more or less in the area of ""Social services""?",-0.4887294242321207,0.4887294242321207
32219,32271,Should the federal government provide more financial support for public housing construction? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4879742927612069,0.4879742927612069
32218,32281,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",0.48792728888982334,0.48792728888982334
32228,32230,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,-0.4863514083630673,0.4863514083630673
32280,32281,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Social services""?",0.4854009275380976,0.4854009275380976
32234,32281,"Should a third official gender be introduced alongside ""female"" and ""male""?","Should the federal government spend more or less in the area of ""Social services""?",0.4812517489804339,0.4812517489804339
32240,32271,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4792684915418655,0.4792684915418655
32228,32279,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",-0.47771360009785785,0.47771360009785785
32234,32262,"Should a third official gender be introduced alongside ""female"" and ""male""?",Are you in favour of lowering the voting age to 16?,0.47629385529442436,0.47629385529442436
32219,32275,Should the federal government provide more financial support for public housing construction? [BePart question],"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",-0.47556488939535163,0.47556488939535163
32286,32287,"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""National defence""?",0.4753862044146332,0.4753862044146332
32219,32227,Should the federal government provide more financial support for public housing construction? [BePart question],"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",0.4720513115662757,0.4720513115662757
32228,32229,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.4704467927571108,0.4704467927571108
32219,32244,Should the federal government provide more financial support for public housing construction? [BePart question],Are you in favor of stricter controls on equal pay for women and men?,0.46877435516038773,0.46877435516038773
32231,32281,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,"Should the federal government spend more or less in the area of ""Social services""?",0.4653866073761089,0.4653866073761089
32240,32244,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Are you in favor of stricter controls on equal pay for women and men?,0.46352723165585336,0.46352723165585336
32253,32254,Should direct payments only be granted to farmers with proof of ecological performance?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.4634857195781945,0.4634857195781945
32230,32288,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"Should the federal government spend more or less in the area of ""Development assistance""?",-0.4622383465811491,0.4622383465811491
32240,32276,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.46223715221064704,0.46223715221064704
32255,32271,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4621158887175612,0.4621158887175612
32215,32276,Should the federal government allocate more funding for health insurance premium subsidies?,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.46176370150758783,0.46176370150758783
32245,32280,Should busy sections of highways be widened?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",-0.46110100869785536,0.46110100869785536
32265,32273,Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],-0.4600844533300542,0.4600844533300542
32247,32285,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.45808965179223865,0.45808965179223865
32230,32279,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.4576293177813254,0.4576293177813254
32228,32288,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the federal government spend more or less in the area of ""Development assistance""?",0.4551840771624435,0.4551840771624435
32241,32271,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4518191369938412,0.4518191369938412
32279,32281,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Social services""?",-0.45136830011449336,0.45136830011449336
32245,32246,Should busy sections of highways be widened?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,-0.4513312372672053,0.4513312372672053
32231,32288,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.4511853427941932,0.4511853427941932
32268,32273,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.44858644784143165,0.44858644784143165
32234,32279,"Should a third official gender be introduced alongside ""female"" and ""male""?","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",-0.447914538260312,0.447914538260312
32271,32276,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.44785422542588493,0.44785422542588493
32240,32275,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",-0.44712819116840374,0.44712819116840374
32256,32280,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.44644680444335794,0.44644680444335794
32275,32280,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",-0.4463503214976487,0.4463503214976487
32234,32246,"Should a third official gender be introduced alongside ""female"" and ""male""?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.4455447174331088,0.4455447174331088
32230,32234,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"Should a third official gender be introduced alongside ""female"" and ""male""?",-0.44476102879436474,0.44476102879436474
32228,32269,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Are you in favor of closer relations with the European Union (EU)?,0.44353361429682897,0.44353361429682897
32219,32280,Should the federal government provide more financial support for public housing construction? [BePart question],"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.441944430970714,0.441944430970714
32228,32276,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.44167373031647633,0.44167373031647633
32218,32219,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should the federal government provide more financial support for public housing construction? [BePart question],0.44119465695408916,0.44119465695408916
32272,32273,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.4411326487772683,0.4411326487772683
32230,32231,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,-0.44098053458857445,0.44098053458857445
32254,32280,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4406608661207138,0.4406608661207138
32271,32288,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.4403093283488539,0.4403093283488539
32238,32275,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",-0.4402518077279491,0.4402518077279491
32271,32275,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",-0.44018622579471434,0.44018622579471434
32276,32285,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.4398967811574886,0.4398967811574886
32231,32234,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,"Should a third official gender be introduced alongside ""female"" and ""male""?",0.43830136021079286,0.43830136021079286
32219,32288,Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Development assistance""?",0.43816411289246215,0.43816411289246215
32231,32279,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",-0.43771620665679184,0.43771620665679184
32215,32240,Should the federal government allocate more funding for health insurance premium subsidies?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.43619146927538804,0.43619146927538804
32219,32238,Should the federal government provide more financial support for public housing construction? [BePart question],Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],0.4360854173030534,0.4360854173030534
32281,32287,"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""National defence""?",-0.4360463047257229,0.4360463047257229
32244,32288,Are you in favor of stricter controls on equal pay for women and men?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.43575097169556937,0.43575097169556937
32257,32271,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.43333258772354244,0.43333258772354244
32227,32276,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.43299624043758334,0.43299624043758334
32234,32276,"Should a third official gender be introduced alongside ""female"" and ""male""?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4326523615606744,0.4326523615606744
32275,32285,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.4326476052302526,0.4326476052302526
32234,32244,"Should a third official gender be introduced alongside ""female"" and ""male""?",Are you in favor of stricter controls on equal pay for women and men?,0.43230098260184335,0.43230098260184335
32279,32285,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.43193607318736105,0.43193607318736105
32241,32275,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",-0.43155678333880876,0.43155678333880876
32238,32281,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",0.43142081726845605,0.43142081726845605
32234,32285,"Should a third official gender be introduced alongside ""female"" and ""male""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.43135123779005463,0.43135123779005463
32227,32288,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Development assistance""?",0.43038420170060654,0.43038420170060654
32245,32275,Should busy sections of highways be widened?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.4294932111268567,0.4294932111268567
32280,32288,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Development assistance""?",0.4294312154340386,0.4294312154340386
32281,32285,"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.42688588998105537,0.42688588998105537
32253,32280,Should direct payments only be granted to farmers with proof of ecological performance?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4267166294797122,0.4267166294797122
32227,32244,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Are you in favor of stricter controls on equal pay for women and men?,0.4260241434362837,0.4260241434362837
32255,32256,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],0.42563714087305715,0.42563714087305715
32236,32261,Do you support tax cuts at the federal level over the next four years?,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.42440322028798366,0.42440322028798366
32249,32280,Should the construction of new nuclear power plants in Switzerland be allowed again?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",-0.42416381428383926,0.42416381428383926
32256,32271,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.42415902190647653,0.42415902190647653
32244,32280,Are you in favor of stricter controls on equal pay for women and men?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.42303811757404525,0.42303811757404525
32254,32271,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4225224184677043,0.4225224184677043
32249,32271,Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,-0.4223420200705136,0.4223420200705136
32214,32217,"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",0.4218845035448406,0.4218845035448406
32245,32247,Should busy sections of highways be widened?,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",0.42081204849553616,0.42081204849553616
32228,32287,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the federal government spend more or less in the area of ""National defence""?",-0.41882495314413065,0.41882495314413065
32228,32285,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.4183215549611364,0.4183215549611364
32234,32280,"Should a third official gender be introduced alongside ""female"" and ""male""?","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.41759531340935774,0.41759531340935774
32218,32234,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"Should a third official gender be introduced alongside ""female"" and ""male""?",0.41514820975047606,0.41514820975047606
32276,32279,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",-0.4148961975777212,0.4148961975777212
32215,32244,Should the federal government allocate more funding for health insurance premium subsidies?,Are you in favor of stricter controls on equal pay for women and men?,0.4146139331157241,0.4146139331157241
32219,32231,Should the federal government provide more financial support for public housing construction? [BePart question],Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.41325046574004803,0.41325046574004803
32279,32288,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Development assistance""?",-0.41223210082426437,0.41223210082426437
32231,32269,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Are you in favor of closer relations with the European Union (EU)?,0.4120505788686951,0.4120505788686951
32218,32244,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Are you in favor of stricter controls on equal pay for women and men?,0.4117686114480333,0.4117686114480333
32253,32255,Should direct payments only be granted to farmers with proof of ecological performance?,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],0.41152725106318744,0.41152725106318744
32285,32287,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""National defence""?",0.4113385002115972,0.4113385002115972
32268,32279,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.41117604781580797,0.41117604781580797
32262,32281,Are you in favour of lowering the voting age to 16?,"Should the federal government spend more or less in the area of ""Social services""?",0.4102718944868794,0.4102718944868794
32218,32276,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4093497312916717,0.4093497312916717
32215,32218,Should the federal government allocate more funding for health insurance premium subsidies?,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],0.40923670399184886,0.40923670399184886
32219,32234,Should the federal government provide more financial support for public housing construction? [BePart question],"Should a third official gender be introduced alongside ""female"" and ""male""?",0.4089012311388859,0.4089012311388859
32279,32286,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Public security""?",0.4085193213913365,0.4085193213913365
32246,32269,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Are you in favor of closer relations with the European Union (EU)?,0.40850330392122247,0.40850330392122247
32276,32288,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","Should the federal government spend more or less in the area of ""Development assistance""?",0.40555131890709417,0.40555131890709417
32215,32227,Should the federal government allocate more funding for health insurance premium subsidies?,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",0.4050192011395829,0.4050192011395829
32234,32288,"Should a third official gender be introduced alongside ""female"" and ""male""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.40477182128360534,0.40477182128360534
32238,32280,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4047496849937442,0.4047496849937442
32234,32235,"Should a third official gender be introduced alongside ""female"" and ""male""?",Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,0.4040443653345406,0.4040443653345406
32244,32249,Are you in favor of stricter controls on equal pay for women and men?,Should the construction of new nuclear power plants in Switzerland be allowed again?,-0.40384078819716823,0.40384078819716823
32227,32231,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.40378299529538936,0.40378299529538936
32215,32271,Should the federal government allocate more funding for health insurance premium subsidies?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4034244362154957,0.4034244362154957
32215,32288,Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.40330784078187454,0.40330784078187454
32218,32228,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",0.4032043487484344,0.4032043487484344
32231,32287,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,"Should the federal government spend more or less in the area of ""National defence""?",-0.4029169419332099,0.4029169419332099
32240,32280,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.40289678383138533,0.40289678383138533
32246,32276,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4028746680420244,0.4028746680420244
32219,32228,Should the federal government provide more financial support for public housing construction? [BePart question],"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",0.402748094239351,0.402748094239351
32245,32276,Should busy sections of highways be widened?,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",-0.40252394823294,0.40252394823294
32230,32268,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.40250268689636914,0.40250268689636914
32249,32281,Should the construction of new nuclear power plants in Switzerland be allowed again?,"Should the federal government spend more or less in the area of ""Social services""?",-0.4024919117368507,0.4024919117368507
