question_id,question_text,category,group,is_mini,is_selected,max_abs_r_to_mini,mean_abs_r_to_mini,best_mini_partner,arccos_to_best_mini,max_abs_r_to_full_only,mean_abs_r_to_full_only,max_abs_r_overall,mean_abs_r_overall,n_high_corr_all,mds_x,mds_y,mds_stress
32224,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Health,full_only,False,False,0.21109819555941867,0.12154095845743734,32246,1.3580979889645481,0.3193462462676356,0.1180746221797755,0.3193462462676356,0.11947989364369249,1,0.6638582264556757,0.8361308282221133,734.2038424353796
32225,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Education,full_only,False,False,0.3322973701942128,0.20396355213455705,32234,1.2320580090504203,0.33447967471818735,0.15086903525366416,0.33447967471818735,0.17239383939456668,6,0.1973786356700905,-0.8660501652825304,734.2038424353796
32226,Should the federal government raise the requirements for the gymnasiale matura?,Education,full_only,False,False,0.21962200167217774,0.1369763538385982,32230,1.349369331307712,0.2536439546532666,0.09528296517544009,0.2536439546532666,0.11218569030915285,0,0.9454866238896442,-0.5121119411673376,734.2038424353796
32227,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Education,mini,True,False,0.4720513115662727,0.2725595558628111,32219,1.0791801128297926,0.5027990972468035,0.22232839068886204,0.5027990972468035,0.24201357704081508,24,0.0641708069199521,-0.27526143265040975,734.2038424353796
32228,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Immigration & integration,mini,True,False,0.6015069591483522,0.30466587689199826,32231,0.9254101854448015,0.5092954101252467,0.252573442360134,0.6015069591483522,0.27298804508208085,33,0.039001041634564,0.2649033450613261,734.2038424353796
32229,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Immigration & integration,full_only,False,False,0.470446792757109,0.19841667887595232,32228,1.0809992952319611,0.3701155808425511,0.16601516852692635,0.470446792757109,0.17915091596572066,10,-0.6295071356427611,0.8120384945219922,734.2038424353796
32230,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Immigration & integration,mini,True,False,0.486351408363077,0.3017305485995244,32228,1.062887170986708,0.4887294242321217,0.22645365195433503,0.4887294242321217,0.25595405739636873,31,-0.6197540620872607,0.199921043797941,734.2038424353796
32231,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Immigration & integration,mini,True,False,0.6015069591483522,0.28958870363512995,32228,0.9254101854448015,0.4924656208133664,0.2324264827528095,0.6015069591483522,0.2548278936391242,30,0.02132527456695435,0.11053447375567224,734.2038424353796
32232,Should cannabis use be legalized? [BePart question],Society & ethics,mini,True,False,0.27651471736299726,0.14531156380661875,32234,1.2906308081589821,0.31716019410588725,0.1443845793799678,0.31716019410588725,0.14474785706068233,1,0.8965213295892752,-0.03676200931164636,734.2038424353796
32233,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Society & ethics,full_only,False,False,0.2968062369556422,0.08877253023601636,32232,1.2694498917220332,0.3004033943444511,0.09663385150978293,0.3004033943444511,0.09344682937176947,1,1.1390676849379013,-0.11923768755653942,734.2038424353796
32234,"Should a third official gender be introduced alongside ""female"" and ""male""?",Society & ethics,mini,True,False,0.5185286830632536,0.30987807907067333,32228,1.0256669929564264,0.48125174898043144,0.25375437864574935,0.5185286830632536,0.2757488017852465,35,-0.3155448949743046,0.13775748058882478,734.2038424353796
32235,Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Society & ethics,full_only,False,False,0.40404436533454036,0.22234635113107745,32234,1.1548624445416535,0.37294923112438594,0.18599197774353193,0.40404436533454036,0.20073023722496924,13,-1.0273306346691509,0.07929606865523682,734.2038424353796
32236,Do you support tax cuts at the federal level over the next four years?,Finances & taxes,mini,True,False,0.4244032202879828,0.19036150727969414,32261,1.1324936234689895,0.3457424498316247,0.16615002456872865,0.4244032202879828,0.17563830833383676,7,-0.44977982325511773,0.9314105337894226,734.2038424353796
32237,Should married couples be taxed separately (individual taxation)? [BePart question],Finances & taxes,full_only,False,False,0.14298174861706808,0.07690421085000218,32234,1.427322859699486,0.21131878865083464,0.07981098530042151,0.21131878865083464,0.0786325632259272,0,1.1889287392713568,0.07503585492276525,734.2038424353796
32238,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Finances & taxes,mini,True,False,0.4360854173030522,0.27015663717662464,32219,1.1195522558454563,0.5373608393990486,0.21977728830548351,0.5373608393990486,0.23952054664687666,24,-0.8431180781987963,-0.1750200591928976,734.2038424353796
32239,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Finances & taxes,full_only,False,False,0.3298110507142371,0.19919022376787346,32219,1.2346929068245343,0.34947432890862684,0.15801359377390523,0.34947432890862684,0.1747068221498383,6,0.6152611656209851,-0.33645108731072676,734.2038424353796
32240,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Economy & labour,mini,True,False,0.5068782485376098,0.2829589553836952,32219,1.0392368558078855,0.5230650029343384,0.22788478358660685,0.5230650029343384,0.24946790496654686,28,-0.32129456369450193,-0.7530563687329374,734.2038424353796
32241,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Economy & labour,mini,True,False,0.3959107831454222,0.23958058618319492,32219,1.1637368612625565,0.45181913699384213,0.19126084614111274,0.45181913699384213,0.21019696048192874,13,-0.6694190824383957,-0.7804749476386501,734.2038424353796
32242,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Economy & labour,full_only,False,False,0.26350322317110914,0.14077544851942445,32236,1.3041443471917038,0.3315395564058796,0.10970120686335333,0.3315395564058796,0.12229887239959839,1,-1.018940702246218,-0.6500218755350178,734.2038424353796
32243,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Economy & labour,full_only,False,False,0.2586474393882248,0.14347472211583248,32270,1.3091745940766983,0.27850723828139035,0.1273500986983262,0.27850723828139035,0.13388710819190985,0,0.29896662133775814,-1.089496362009668,734.2038424353796
32244,Are you in favor of stricter controls on equal pay for women and men?,Economy & labour,mini,True,False,0.46877435516038785,0.2956969507869153,32219,1.0828936070965207,0.515474162140239,0.2360406235034479,0.515474162140239,0.2594194544658878,31,-0.4371756299330837,-0.6195796085194168,734.2038424353796
32245,Should busy sections of highways be widened?,Energy & transport,mini,True,False,0.4513312372672029,0.27068074729442126,32246,1.102539727338005,0.7365356285886429,0.23079595446218704,0.7365356285886429,0.2464264813829275,26,-0.5259881113231293,0.359064810889563,734.2038424353796
32246,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Energy & transport,mini,True,False,0.4513312372672029,0.29264420121630563,32245,1.102539727338005,0.5206576185088482,0.25411251042996175,0.5206576185088482,0.26921276763001545,37,-0.051989108952067015,0.4524211145559124,734.2038424353796
32247,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Energy & transport,full_only,False,False,0.5048094688272357,0.27680609420481955,32246,1.041635094415134,0.5004789315541256,0.2165526381170385,0.5048094688272357,0.24097971490938216,23,-0.31982389233349157,0.6039672342105201,734.2038424353796
32248,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Energy & transport,full_only,False,False,0.19101968095848265,0.06813643871298783,32273,1.378595475676859,0.26787003854190805,0.08041665634950457,0.26787003854190805,0.07543818974010588,0,0.7317039719836175,-0.988780179003781,734.2038424353796
32249,Should the construction of new nuclear power plants in Switzerland be allowed again?,Energy & transport,mini,True,False,0.4038407881971706,0.26409758762937025,32244,1.1550849856679148,0.424163814283837,0.19662376413761556,0.424163814283837,0.22306620847897893,21,-0.755877874153279,-0.5599915475738295,734.2038424353796
32250,Should the state guarantee a comprehensive public service offering also in rural regions?,Energy & transport,full_only,False,False,0.277869032279396,0.16116805240028612,32219,1.2892212593456336,0.3176502605809987,0.1274872499455382,0.3176502605809987,0.14114162931908464,1,-1.1211028582561908,-0.35090211826995416,734.2038424353796
32251,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Energy & transport,full_only,False,False,0.3102610859874249,0.19682813555598105,32245,1.255328667614537,0.36257781940636025,0.1602759297574477,0.36257781940636025,0.1750943915676639,5,-1.032431103000732,0.39420794537702214,734.2038424353796
32252,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Nature conservation,mini,True,False,0.22012426953659636,0.16608585462101771,32245,1.3488544638445619,0.3128876473260062,0.13884876552896144,0.3128876473260062,0.1495227599028754,1,0.6490799336659099,-0.5837607320674587,734.2038424353796
32253,Should direct payments only be granted to farmers with proof of ecological performance?,Nature conservation,mini,True,False,0.39903104887066154,0.22465233565735102,32246,1.160336449490856,0.4634857195781888,0.20052065069789443,0.4634857195781888,0.20997766237119497,10,0.5294174815426521,0.04358887243332429,734.2038424353796
32254,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Nature conservation,full_only,False,False,0.4634857195781888,0.24664108344997232,32253,1.0888713996363635,0.49589200932463334,0.19286358223447497,0.49589200932463334,0.2146652719164334,17,-0.8578543622484966,-0.39045497172917076,734.2038424353796
32255,Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Nature conservation,full_only,False,False,0.4256371408730539,0.2678298477239427,32256,1.1311304520968763,0.504986310212146,0.2144660217257466,0.504986310212146,0.23610000523852884,22,0.1354728502678635,-0.635912405272642,734.2038424353796
32256,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Nature conservation,mini,True,False,0.4009749030594838,0.22977963323294257,32246,1.1582155270604884,0.4464468044433562,0.1903319209336007,0.4464468044433562,0.20579115953739685,16,0.3541407495211773,-0.5158597063300716,734.2038424353796
32257,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Nature conservation,full_only,False,False,0.4013077889609878,0.24467158442567788,32219,1.1578521209155723,0.43333258772354677,0.1912378161034887,0.43333258772354677,0.2129001546124843,17,-0.5149763810680945,-0.8604604215477912,734.2038424353796
32258,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"Democracy, Media & Digitalization",full_only,False,False,0.25441990102232204,0.08496979977694151,32270,1.3135485082739666,0.39482456319331344,0.104290153776584,0.39482456319331344,0.09645757783078301,1,1.0606071171126974,0.38157594711038717,734.2038424353796
32259,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Democracy, Media & Digitalization",full_only,False,False,0.2604816922363281,0.1554122027847983,32273,1.3072752420382878,0.3193462462676356,0.15388785509325562,0.3193462462676356,0.15450583388712427,1,0.6517453965745885,0.6686865487593859,734.2038424353796
32260,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","Democracy, Media & Digitalization",mini,True,False,0.34122807108817516,0.21243314513394973,32241,1.2225732529061633,0.39097479407975455,0.18147204801070999,0.39097479407975455,0.19360545093738507,9,-0.8954744040125341,0.48414204729434834,734.2038424353796
32261,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","Democracy, Media & Digitalization",mini,True,False,0.4244032202879828,0.21390691186319807,32236,1.1324936234689895,0.34235882535281437,0.18616370865505594,0.4244032202879828,0.19703604504743594,14,-0.3011719694356987,0.9183119698036702,734.2038424353796
32262,Are you in favour of lowering the voting age to 16?,"Democracy, Media & Digitalization",full_only,False,False,0.5092954101252467,0.27881152378626534,32228,1.0364304622391431,0.4102718944868815,0.215871754145553,0.5092954101252467,0.24138787697286881,27,0.26178643162891796,0.20502216807161247,734.2038424353796
32263,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,"Democracy, Media & Digitalization",full_only,False,False,0.2563479309797242,0.0738128745250426,32223,1.3115543511326948,0.2192566678278719,0.06281856890782393,0.2563479309797242,0.0672757198337234,0,0.9346241900259475,0.7504273298541813,734.2038424353796
32264,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",Security & military,mini,True,False,0.36779645347664824,0.2424943801160944,32228,1.1941580633812545,0.7754187904946274,0.20401262290294808,0.7754187904946274,0.21909331154053238,20,-0.8231726806210463,0.09878852129993623,734.2038424353796
32265,Should the Swiss Armed Forces expand their cooperation with NATO?,Security & military,full_only,False,False,0.460084453330054,0.10543386224558801,32273,1.0927060121458991,0.5404606130766288,0.1076757218208618,0.5404606130766288,0.10676685983088592,3,0.5911014923262845,1.0126935842811584,734.2038424353796
32266,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Security & military,selected,False,True,0.5248628269936207,0.10639649540250502,32273,1.018242376699044,0.5404606130766288,0.1009646633653099,0.5404606130766288,0.10316675743444306,3,0.4682291202975494,1.0898051652579992,734.2038424353796
32267,Should automatic facial recognition be banned in public spaces?,Security & military,mini,True,False,0.1766781097193028,0.10938521511770534,32245,1.3931858880957457,0.3830407501067601,0.10857440187660106,0.3830407501067601,0.10889215301162838,1,0.9135438308956995,-0.6706830591842469,734.2038424353796
32268,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Security & military,mini,True,False,0.6546283329468052,0.2427944366930607,32272,0.8571054660710801,0.5033790835340002,0.2065485710350511,0.6546283329468052,0.22075303190102785,16,0.22875294978581837,0.7216730998721403,734.2038424353796
32269,Are you in favor of closer relations with the European Union (EU)?,Foreign trade & foreign policy,full_only,False,False,0.5033790835340002,0.27799343713067926,32268,1.0432913068720169,0.38175742261183643,0.23128716578682953,0.5033790835340002,0.25022214065595777,25,0.08311739629690114,0.6816298294157185,734.2038424353796
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Foreign trade & foreign policy,mini,True,False,0.23448780318587154,0.13972284819742417,32214,1.3341046791263647,0.3859753979229691,0.14599072352020342,0.3859753979229691,0.143534394001817,1,0.4775099073780488,-0.9369324786788652,734.2038424353796
32271,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Foreign trade & foreign policy,full_only,False,False,0.515474162140239,0.32742442996928794,32244,1.0292354269435353,0.5381516549966726,0.244284220397736,0.5381516549966726,0.27798971076458145,34,-0.19718120320964572,-0.5242576473942864,734.2038424353796
32272,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Foreign trade & foreign policy,mini,True,False,0.6546283329468052,0.2398486145413784,32268,0.8571054660710801,0.5021468385600639,0.20205100918066485,0.6546283329468052,0.21686358425445804,14,-0.054483348876391884,0.8419813969688575,734.2038424353796
32273,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],Foreign trade & foreign policy,mini,True,False,0.44858644784143537,0.22381732026516,32268,1.1056132321825107,0.5248628269936207,0.20549101655359167,0.5248628269936207,0.21267294638650353,14,0.17880960859499329,0.9113157523022659,734.2038424353796
32274,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",Values,full_only,False,False,0.3830407501067601,0.13030558896112251,32267,1.1777104561655682,0.34381026686808147,0.10533447977986131,0.3830407501067601,0.11545790242091318,4,1.026129437761794,-0.34227973275966056,734.2038424353796
32275,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",Values,full_only,False,False,0.4755648893953534,0.31867201440174603,32219,1.075190253651036,0.51243988352727,0.24075424440271015,0.51243988352727,0.2723425295374544,35,-0.5544703647388244,-0.4708498164555037,734.2038424353796
32276,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",Values,selected,False,True,0.5373608393990486,0.33865272632997484,32238,1.0034917172296445,0.5911157519214272,0.25152279878919553,0.5911157519214272,0.2868457423868088,35,-0.5029101589779092,-0.18651166080217627,734.2038424353796
32277,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",Values,full_only,False,False,0.3569293856079942,0.20179187015688937,32234,1.2058176395894928,0.37294923112438594,0.17395940689378028,0.37294923112438594,0.18524283794639204,8,-0.08762894078684595,1.0240090725648547,734.2038424353796
32278,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",Values,full_only,False,False,0.2543161308738544,0.09191999155769916,32270,1.3136558077714422,0.39482456319331344,0.10052089389822833,0.39482456319331344,0.0970340415980138,1,0.8319442263510308,-0.838224125450743,734.2038424353796
32279,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Values,full_only,False,False,0.4777136000978551,0.2935974365320773,32228,1.072746033217529,0.4513683001144919,0.22635775611743006,0.4777136000978551,0.2536170860152601,29,-0.5407637314164855,0.5078582400510719,734.2038424353796
32280,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",Values,full_only,False,False,0.5206576185088482,0.34014666733471216,32246,1.0231753003082333,0.5381516549966726,0.2637012295706955,0.5381516549966726,0.29469262325881035,40,-0.21401609554822576,-0.05341084667360497,734.2038424353796
32281,"Should the federal government spend more or less in the area of ""Social services""?",Federal budget,selected,False,True,0.604714896916644,0.37557515859864704,32219,0.9213884789593543,0.5911157519214272,0.2775988447480836,0.604714896916644,0.3173189719847984,42,-0.28244633253586576,-0.24769354277450428,734.2038424353796
32282,"Should the federal government spend more or less in the area of ""Education and research""?",Federal budget,full_only,False,False,0.29002030360366565,0.17250205842497685,32227,1.2765482736816105,0.3648337700491716,0.15837703997037167,0.3648337700491716,0.1641033988033197,2,-0.8697284894210138,0.6913107486557725,734.2038424353796
32283,"Should the federal government spend more or less in the area of ""Agriculture""?",Federal budget,full_only,False,False,0.24421344115692417,0.09430302191857608,32273,1.3240878354958516,0.27186265573561463,0.09568176067084773,0.27186265573561463,0.0951228125280349,0,1.1094343092841716,0.21909105709086812,734.2038424353796
32284,"Should the federal government spend more or less in the area of ""Public transport""?",Federal budget,full_only,False,False,0.3482959300735843,0.22933751677329084,32219,1.2150437368273925,0.3877946366692614,0.19109314093145172,0.3877946366692614,0.2065976176240892,9,-1.0074508168936593,0.1923628512276604,734.2038424353796
32285,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",Federal budget,selected,False,True,0.7365356285886429,0.31997344449967907,32245,0.7428621424606962,0.5230520968355118,0.2435839473788253,0.7365356285886429,0.2745526624278201,38,-0.3204855411885768,0.32998465924747444,734.2038424353796
32286,"Should the federal government spend more or less in the area of ""Public security""?",Federal budget,full_only,False,False,0.37831463218269173,0.19986220706056604,32264,1.1828213957925047,0.47538620441463064,0.1534405708461694,0.47538620441463064,0.17226015309524909,9,0.5689425159492841,0.4055826331354479,734.2038424353796
32287,"Should the federal government spend more or less in the area of ""National defence""?",Federal budget,selected,False,True,0.7754187904946274,0.28377643835631616,32264,0.683418278417062,0.47538620441463064,0.21755677747903943,0.7754187904946274,0.24440258594280023,25,0.26685056995257156,-0.10798115156442227,734.2038424353796
32288,"Should the federal government spend more or less in the area of ""Development assistance""?",Federal budget,full_only,False,False,0.46223834658114826,0.31355800202364953,32230,1.0902785865694662,0.526338285716052,0.23192530317103593,0.526338285716052,0.2650196405437171,34,-0.6335621470999627,-0.04091642633485147,734.2038424353796
