Qu1,Qu2,ID1,ID2,Distance,Type,rank_type,cat1,cat2
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32246,32285,1.0305265417148521,Real-Symmetric,closest,Energy & transport,Federal budget
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Agriculture""?",32280,32283,1.5680227531279547,Real-Symmetric,furthest,Values,Federal budget
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32218,32263,1.568579500322649,Real-Symmetric,furthest,Welfare state & family,"Democracy, Media & Digitalization"
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32248,32285,1.568855128880312,Real-Symmetric,furthest,Energy & transport,Federal budget
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32251,32263,1.5688658093389323,Real-Symmetric,furthest,Energy & transport,"Democracy, Media & Digitalization"
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32252,32263,1.5689268165159642,Real-Symmetric,furthest,Nature conservation,"Democracy, Media & Digitalization"
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32264,32278,1.5690442076006126,Real-Symmetric,furthest,Security & military,Values
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32248,32256,1.5690743399066096,Real-Symmetric,furthest,Energy & transport,Nature conservation
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32258,32274,1.569232440603097,Real-Symmetric,furthest,"Democracy, Media & Digitalization",Values
"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32261,32278,1.569402421717147,Real-Symmetric,furthest,"Democracy, Media & Digitalization",Values
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]","Should the federal government spend more or less in the area of ""Social services""?",32266,32281,1.5694289126745569,Real-Symmetric,furthest,Security & military,Federal budget
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32256,32263,1.5696073229707224,Real-Symmetric,furthest,Nature conservation,"Democracy, Media & Digitalization"
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32224,32274,1.5697155277074561,Real-Symmetric,furthest,Health,Values
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32216,32233,1.5701624713154811,Real-Symmetric,furthest,Welfare state & family,Society & ethics
Should direct payments only be granted to farmers with proof of ecological performance?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32253,32258,1.5702110839860028,Real-Symmetric,furthest,Nature conservation,"Democracy, Media & Digitalization"
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,32216,32246,1.5703214028699048,Real-Symmetric,furthest,Welfare state & family,Energy & transport
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should cannabis use be legalized? [BePart question],32216,32232,1.570328836995551,Real-Symmetric,furthest,Welfare state & family,Society & ethics
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32217,32233,1.5703860514683565,Real-Symmetric,furthest,Welfare state & family,Society & ethics
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Should the federal government spend more or less in the area of ""Public security""?",32278,32286,1.5705124017570653,Real-Symmetric,furthest,Values,Federal budget
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32216,32266,1.5705816962019663,Real-Symmetric,furthest,Welfare state & family,Security & military
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32217,32272,1.5706928921143701,Real-Symmetric,furthest,Welfare state & family,Foreign trade & foreign policy
