Qu1,Qu2,Similarity
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public security""?",0.6277936100959778
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Education and research""?",0.6272136569023132
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Public security""?",0.6239423155784607
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.6226853728294373
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.6152163743972778
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""National defence""?",0.6128239631652832
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public transport""?",0.6117238402366638
Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.6078459620475769
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.6018117070198059
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""National defence""?",0.6009783744812012
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5977140665054321
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Social services""?",0.5967851281166077
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5967673063278198
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5965122580528259
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",0.5920652151107788
Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5784702301025391
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5737033486366272
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5698454976081848
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5674414038658142
Should busy sections of highways be widened?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.5674363970756531
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5654973387718201
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public transport""?",0.5631228685379028
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],0.5631205439567566
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.5615684986114502
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5607893466949463
Should the Swiss Armed Forces expand their cooperation with NATO?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.558099627494812
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5526838302612305
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5515904426574707
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5501487851142883
Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.5496748685836792
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5490119457244873
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.5484481453895569
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5482638478279114
Should direct payments only be granted to farmers with proof of ecological performance?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.546298623085022
Should the construction of new nuclear power plants in Switzerland be allowed again?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5456357598304749
Should direct payments only be granted to farmers with proof of ecological performance?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.5449463725090027
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Are you in favor of stricter controls on equal pay for women and men?,0.5432717800140381
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.5424231290817261
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Public security""?",0.5419718027114868
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5382243990898132
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5361829996109009
"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",0.531572163105011
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",0.530788004398346
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.5307777523994446
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.5290951132774353
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.5279543399810791
Should busy sections of highways be widened?,"Should the federal government spend more or less in the area of ""Public transport""?",0.5277637839317322
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5274689793586731
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.5265558958053589
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,0.5259480476379395
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Education and research""?",0.5246464610099792
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5229367613792419
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",0.5219970345497131
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.5218452215194702
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5216512680053711
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5208665132522583
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5205989480018616
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5192569494247437
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.5164730548858643
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the federal government raise the requirements for the gymnasiale matura?,0.5161082744598389
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.5128430724143982
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.5127784609794617
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5124962329864502
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.510683000087738
Should the federal government provide more financial support for public housing construction? [BePart question],"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.5096052885055542
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.5090610384941101
Do you support tax cuts at the federal level over the next four years?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.5090421438217163
Should the federal government provide more financial support for public housing construction? [BePart question],Do you support tax cuts at the federal level over the next four years?,0.5087324380874634
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.5082021951675415
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public security""?",0.5073434114456177
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0.5066534280776978
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5055921673774719
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.5024973154067993
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Public transport""?",0.5021554231643677
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4999276101589203
Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4974914491176605
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4964236319065094
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Education and research""?",0.4959443211555481
Should the federal government raise the requirements for the gymnasiale matura?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4956924617290497
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.49551355838775635
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4953324794769287
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.4951837956905365
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.4951680302619934
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.4945819675922394
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.49437323212623596
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""National defence""?",0.49427440762519836
"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.49254778027534485
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.49244678020477295
Do you support tax cuts at the federal level over the next four years?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.49130040407180786
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.49080753326416016
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.4896088242530823
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.486258327960968
Should the federal government allocate more funding for health insurance premium subsidies?,Do you support tax cuts at the federal level over the next four years?,0.48424020409584045
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Agriculture""?",0.4821527302265167
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.48109301924705505
Do you support tax cuts at the federal level over the next four years?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.4806475043296814
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.48007380962371826
Should the federal government provide more financial support for public housing construction? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.4790199100971222
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Development assistance""?",0.4789380133152008
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.47886067628860474
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public transport""?",0.4779062569141388
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4775087237358093
Should the federal government provide more financial support for public housing construction? [BePart question],Should the federal government raise the requirements for the gymnasiale matura?,0.4773746728897095
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.4773167371749878
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.47724202275276184
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the state guarantee a comprehensive public service offering also in rural regions?,0.4768974184989929
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.4765682816505432
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.475689560174942
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.4741780757904053
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.4729773700237274
Should the state guarantee a comprehensive public service offering also in rural regions?,Should direct payments only be granted to farmers with proof of ecological performance?,0.4728885889053345
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.4726136326789856
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.4725808799266815
Should the federal government raise the requirements for the gymnasiale matura?,Should the state guarantee a comprehensive public service offering also in rural regions?,0.4721018075942993
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,"Should the federal government spend more or less in the area of ""Public security""?",0.47126665711402893
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss Armed Forces expand their cooperation with NATO?,0.47120389342308044
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Education and research""?",0.47054725885391235
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4702831208705902
"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Should direct payments only be granted to farmers with proof of ecological performance?,0.4701172709465027
Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.46981918811798096
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favor of stricter controls on equal pay for women and men?,0.469492107629776
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.46886149048805237
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.4679047167301178
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.4677294194698334
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.46745964884757996
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Social services""?",0.46725326776504517
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.4671463966369629
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Public transport""?",0.46688729524612427
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.46670156717300415
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.46666836738586426
Should the state guarantee a comprehensive public service offering also in rural regions?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.466406911611557
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.46616438031196594
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"Should the federal government spend more or less in the area of ""Social services""?",0.46575433015823364
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Should the federal government spend more or less in the area of ""Social services""?",0.4654832184314728
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of lowering the voting age to 16?,0.4642558991909027
Should the state guarantee a comprehensive public service offering also in rural regions?,"Should the federal government spend more or less in the area of ""Social services""?",0.46409478783607483
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.4639923870563507
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.463466614484787
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4619350731372833
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,0.46070852875709534
"Do you support an increase in the retirement age (e.g., to 67)?","For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",0.46020814776420593
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.45968249440193176
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.4593060612678528
Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.45888814330101013
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Public security""?",0.45848163962364197
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Should direct payments only be granted to farmers with proof of ecological performance?,0.45721402764320374
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Should the state guarantee a comprehensive public service offering also in rural regions?,0.4570230543613434
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.4566272795200348
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.45611220598220825
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.45609337091445923
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0.4537512958049774
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.453626424074173
Do you support tax cuts at the federal level over the next four years?,"Should the federal government spend more or less in the area of ""Social services""?",0.45353731513023376
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4531734883785248
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""National defence""?",0.45299050211906433
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.4519316852092743
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.451506108045578
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.4514288008213043
