Qu1,Qu2,ID1,ID2,Distance,Type
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Public security""?",32285,32286,0.37752146198829517,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""National defence""?",32285,32287,0.38324106322218765,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32281,32285,0.38407409799444187,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32283,32285,0.3864066666085249,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32282,32285,0.39737439912292805,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Development assistance""?",32285,32288,0.4027435390491691,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of lowering the voting age to 16?,32214,32262,0.4057949158163426,Real-Symmetric
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32270,32272,0.4125625505128069,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32268,32273,0.43211442308886017,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",32215,32222,0.4347946445208965,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",32275,32277,0.4386029645375173,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favor of stricter controls on equal pay for women and men?,32241,32244,0.4422116653794658,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32241,32260,0.446396829294067,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32252,32254,0.44719338978981354,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32241,32254,0.44747972985929624,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32221,32251,0.4479090963507551,Real-Symmetric
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should the construction of new nuclear power plants in Switzerland be allowed again?,32246,32249,0.4511101750712296,Real-Symmetric
Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32272,32273,0.45121731880172894,Real-Symmetric
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",32256,32257,0.4524673424838574,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],32215,32219,0.4535753051497749,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",32228,32243,0.45446395360103164,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,32229,32231,0.45463914122468657,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the construction of new nuclear power plants in Switzerland be allowed again?,32229,32249,0.45542154738221086,Real-Symmetric
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32276,32280,0.45565484303722303,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32275,32278,0.45764106430954227,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",32214,32264,0.4576437994089412,Real-Symmetric
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should married couples be taxed separately (individual taxation)? [BePart question],32216,32237,0.45832719220757817,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,32243,32248,0.45853431225496827,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should the construction of new nuclear power plants in Switzerland be allowed again?,32233,32249,0.4596220740380004,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32236,32240,0.46009853758883196,Real-Symmetric
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",32276,32279,0.4606288587804523,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32238,32240,0.4621553012859572,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32242,32251,0.4623791407853235,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Social services""?",32215,32281,0.46260093927778717,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",32240,32264,0.46362323971905545,Real-Symmetric
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32254,32260,0.46505604231915815,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Are you in favor of stricter controls on equal pay for women and men?,32240,32244,0.465180603558448,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Do you support tax cuts at the federal level over the next four years?,32214,32236,0.4673476541114407,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32221,32240,0.4676457431886198,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32229,32272,0.4681868667364007,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32221,32254,0.4682871758916896,Real-Symmetric
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32257,32260,0.4684241115700289,Real-Symmetric
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",32251,32257,0.46860349272966106,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",32221,32241,0.4690358879576271,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,Are you in favour of lowering the voting age to 16?,32236,32262,0.46911899030796644,Real-Symmetric
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32266,32273,0.4695680473748373,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,32214,32221,0.47032270452131547,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",32274,32275,0.4722232569265561,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32214,32240,0.4723673796855486,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],32233,32238,0.47251423365230844,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Are you in favor of stricter controls on equal pay for women and men?,32221,32244,0.47296586417964587,Real-Symmetric
Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Should married couples be taxed separately (individual taxation)? [BePart question],32235,32237,0.4731054772162562,Real-Symmetric
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32270,32273,0.4742146172885459,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32275,32280,0.4744418127079757,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should married couples be taxed separately (individual taxation)? [BePart question],32218,32237,0.4746560909686123,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",32277,32279,0.47531214045022563,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32249,32266,0.4758450470043215,Real-Symmetric
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32279,32280,0.47662903368163695,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32277,32280,0.4766442900965207,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",32219,32281,0.4767920769705231,Real-Symmetric
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32246,32272,0.4768345790945876,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",32214,32241,0.47692619578877526,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of stricter controls on equal pay for women and men?,32214,32244,0.476975933907356,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32244,32260,0.4769868056193854,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",32274,32279,0.4777429687525551,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Public transport""?",32219,32284,0.47775968670169805,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32214,32251,0.4785925978429702,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,32229,32271,0.478979143130615,Real-Symmetric
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32246,32258,0.4793213580779521,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,32268,32270,0.4794245592583045,Real-Symmetric
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",32278,32279,0.47955110580289795,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Development assistance""?",32219,32288,0.47990694773263665,Real-Symmetric
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32278,32280,0.4799803445685877,Real-Symmetric
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",32276,32277,0.4800336154452076,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32220,32233,0.480584975660779,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],32229,32268,0.48138786421956165,Real-Symmetric
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32251,32260,0.4815782591699922,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32248,32254,0.481813116194202,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],32249,32268,0.4824307707302295,Real-Symmetric
Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Are you in favor of stricter controls on equal pay for women and men?,32235,32244,0.48298297329226253,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32233,32240,0.48304936299307205,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",32275,32276,0.4835260396215766,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],32221,32238,0.4841351068861517,Real-Symmetric
Should cannabis use be legalized? [BePart question],Should married couples be taxed separately (individual taxation)? [BePart question],32232,32237,0.48488307270942577,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Should the construction of new nuclear power plants in Switzerland be allowed again?,32248,32249,0.48489634851523244,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",32248,32252,0.48490151123044245,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",32219,32243,0.48540117405520344,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],32238,32255,0.4854879820777053,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Public security""?",32219,32286,0.48555488856017864,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Are you in favour of lowering the voting age to 16?,32217,32262,0.4856026381912713,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32244,32254,0.4864882852725834,Real-Symmetric
Should the Swiss Armed Forces expand their cooperation with NATO?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,32265,32270,0.4865963360947576,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",32214,32217,0.4867434279552142,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,32255,32270,0.487077495691165,Real-Symmetric
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32277,32278,0.4871025813041179,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32249,32258,0.48728658455227264,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32238,32256,0.4873916456653143,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Do you support tax cuts at the federal level over the next four years?,32221,32236,0.4873964150736398,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32249,32273,0.4874519324447199,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,32215,32224,0.48751869165826506,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,32229,32270,0.4875895980269944,Real-Symmetric
Should the construction of new nuclear power plants in Switzerland be allowed again?,Should the Swiss Armed Forces expand their cooperation with NATO?,32249,32265,0.4876617163413189,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,32219,32224,0.48805072683368744,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public security""?",32215,32286,0.488312499000064,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32252,32260,0.48842612596815427,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Are you in favour of lowering the voting age to 16?,32240,32262,0.4885982857479296,Real-Symmetric
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Are you in favor of closer relations with the European Union (EU)?,32254,32269,0.4887846526132434,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32255,32273,0.4889807001997591,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of closer relations with the European Union (EU)?,32214,32269,0.48907247904873813,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Development assistance""?",32215,32288,0.4892737715320701,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Are you in favour of lowering the voting age to 16?,32221,32262,0.48958298162353003,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32219,32263,0.4903151001141025,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the Swiss Armed Forces expand their cooperation with NATO?,32229,32265,0.4903722318463712,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,32233,32254,0.49078022633384766,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",32240,32261,0.4908731258347813,Real-Symmetric
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],32246,32268,0.49158343833762275,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32221,32256,0.491873383573908,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,Are you in favor of closer relations with the European Union (EU)?,32244,32269,0.4922137783240962,Real-Symmetric
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",32274,32277,0.4926208525964383,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32229,32233,0.49312127560368246,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32240,32251,0.49312466001317595,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Agriculture""?",32215,32283,0.4932679926069779,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,Are you in favour of lowering the voting age to 16?,32244,32262,0.49340367303323057,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32229,32266,0.49402698521906047,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",32238,32261,0.494417859135436,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?","Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32217,32240,0.49469734765261897,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32241,32256,0.4949224867963735,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Public transport""?",32215,32284,0.4949537981993771,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32248,32251,0.4950520549722657,Real-Symmetric
